# Generated from glyphlist.txt available from
# http://partners.adobe.com/asn/developer/typeforum/unicodegn.html
#
A,41
Fdotaccent,1e1e
Feharmenian,556
Feicoptic,3e4
Fhook,191
Fitacyrillic,472
Fiveroman,2164
Fmonospace,ff26
Fourroman,2163
Fsmall,f766
G,47
GBsquare,3387
Gacute,1f4
Gamma,393
Gammaafrican,194
Gangiacoptic,3ea
Gbreve,11e
Gcaron,1e6
Gcedilla,122
Gcircle,24bc
Gcircumflex,11c
Gcommaaccent,122
Gdot,120
Gdotaccent,120
Gecyrillic,413
Ghadarmenian,542
Ghemiddlehookcyrillic,494
Ghestrokecyrillic,492
Gheupturncyrillic,490
Ghook,193
Gimarmenian,533
Gjecyrillic,403
Gmacron,1e20
Gmonospace,ff27
Grave,f6ce
Gravesmall,f760
Gsmall,f767
Gsmallhook,29b
Gstroke,1e4
H,48
H18533,25cf
H18543,25aa
H18551,25ab
H22073,25a1
HPsquare,33cb
Haabkhasiancyrillic,4a8
Hadescendercyrillic,4b2
Hardsigncyrillic,42a
Hbar,126
Hbrevebelow,1e2a
Hcedilla,1e28
Hcircle,24bd
Hcircumflex,124
Hdieresis,1e26
Hdotaccent,1e22
Hdotbelow,1e24
Hmonospace,ff28
Hoarmenian,540
Horicoptic,3e8
Hsmall,f768
Hungarumlaut,f6cf
Hungarumlautsmall,f6f8
Hzsquare,3390
I,49
IAcyrillic,42f
IJ,132
IUcyrillic,42e
Iacute,cd
Iacutesmall,f7ed
Ibreve,12c
Icaron,1cf
Icircle,24be
Icircumflex,ce
Icircumflexsmall,f7ee
Icyrillic,406
Idblgrave,208
Idieresis,cf
Idieresisacute,1e2e
Idieresiscyrillic,4e4
Idieresissmall,f7ef
Idot,130
Idotaccent,130
Idotbelow,1eca
Iebrevecyrillic,4d6
Iecyrillic,415
Ifraktur,2111
Igrave,cc
Igravesmall,f7ec
Ihookabove,1ec8
Iicyrillic,418
Iinvertedbreve,20a
Iishortcyrillic,419
Imacron,12a
Imacroncyrillic,4e2
Imonospace,ff29
Iniarmenian,53b
Iocyrillic,401
Iogonek,12e
Iota,399
Iotaafrican,196
Iotadieresis,3aa
Iotatonos,38a
Ismall,f769
Istroke,197
Itilde,128
Itildebelow,1e2c
Izhitsacyrillic,474
Izhitsadblgravecyrillic,476
J,4a
Jaarmenian,541
Jcircle,24bf
Jcircumflex,134
Jecyrillic,408
Jheharmenian,54b
Jmonospace,ff2a
Jsmall,f76a
K,4b
KBsquare,3385
KKsquare,33cd
Kabashkircyrillic,4a0
Kacute,1e30
Kacyrillic,41a
Kadescendercyrillic,49a
Kahookcyrillic,4c3
Kappa,39a
Kastrokecyrillic,49e
Kaverticalstrokecyrillic,49c
Kcaron,1e8
Kcedilla,136
Kcircle,24c0
Kcommaaccent,136
Kdotbelow,1e32
Keharmenian,554
Kenarmenian,53f
Khacyrillic,425
Kheicoptic,3e6
Khook,198
Kjecyrillic,40c
Klinebelow,1e34
Kmonospace,ff2b
Koppacyrillic,480
Koppagreek,3de
Ksicyrillic,46e
Ksmall,f76b
L,4c
LJ,1c7
LL,f6bf
Lacute,139
Lambda,39b
Lcaron,13d
Lcedilla,13b
Lcircle,24c1
Lcircumflexbelow,1e3c
Lcommaaccent,13b
Ldot,13f
Ldotaccent,13f
Ldotbelow,1e36
Ldotbelowmacron,1e38
Liwnarmenian,53c
Lj,1c8
Ljecyrillic,409
Llinebelow,1e3a
Lmonospace,ff2c
Lslash,141
Lslashsmall,f6f9
Lsmall,f76c
M,4d
MBsquare,3386
Macron,f6d0
Macronsmall,f7af
Macute,1e3e
Mcircle,24c2
Mdotaccent,1e40
Mdotbelow,1e42
Menarmenian,544
Mmonospace,ff2d
Msmall,f76d
Mturned,19c
Mu,39c
N,4e
NJ,1ca
Nacute,143
Ncaron,147
Ncedilla,145
Ncircle,24c3
Ncircumflexbelow,1e4a
Ncommaaccent,145
Ndotaccent,1e44
Ndotbelow,1e46
Nhookleft,19d
Nineroman,2168
Nj,1cb
Njecyrillic,40a
Nlinebelow,1e48
Nmonospace,ff2e
Nowarmenian,546
Nsmall,f76e
Ntilde,d1
Ntildesmall,f7f1
Nu,39d
O,4f
OE,152
OEsmall,f6fa
Oacute,d3
Oacutesmall,f7f3
Obarredcyrillic,4e8
Obarreddieresiscyrillic,4ea
Obreve,14e
Ocaron,1d1
Ocenteredtilde,19f
Ocircle,24c4
Ocircumflex,d4
Ocircumflexacute,1ed0
Ocircumflexdotbelow,1ed8
Ocircumflexgrave,1ed2
Ocircumflexhookabove,1ed4
Ocircumflexsmall,f7f4
Ocircumflextilde,1ed6
Ocyrillic,41e
Odblacute,150
Odblgrave,20c
Odieresis,d6
Odieresiscyrillic,4e6
Odieresissmall,f7f6
Odotbelow,1ecc
Ogoneksmall,f6fb
Ograve,d2
Ogravesmall,f7f2
Oharmenian,555
Ohm,2126
Ohookabove,1ece
Ohorn,1a0
Ohornacute,1eda
Ohorndotbelow,1ee2
Ohorngrave,1edc
Ohornhookabove,1ede
Ohorntilde,1ee0
Ohungarumlaut,150
Oi,1a2
Oinvertedbreve,20e
Omacron,14c
Omacronacute,1e52
Omacrongrave,1e50
Omega,2126
Omegacyrillic,460
Omegagreek,3a9
Omegaroundcyrillic,47a
Omegatitlocyrillic,47c
Omegatonos,38f
Omicron,39f
Omicrontonos,38c
Omonospace,ff2f
Oneroman,2160
Oogonek,1ea
Oogonekmacron,1ec
Oopen,186
Oslash,d8
Oslashacute,1fe
Oslashsmall,f7f8
Osmall,f76f
Ostrokeacute,1fe
Otcyrillic,47e
Otilde,d5
Otildeacute,1e4c
Otildedieresis,1e4e
Otildesmall,f7f5
P,50
Pacute,1e54
Pcircle,24c5
Pdotaccent,1e56
Pecyrillic,41f
Peharmenian,54a
Pemiddlehookcyrillic,4a6
Phi,3a6
Phook,1a4
Pi,3a0
Piwrarmenian,553
Pmonospace,ff30
Psi,3a8
Psicyrillic,470
Psmall,f770
Q,51
Qcircle,24c6
Qmonospace,ff31
Qsmall,f771
R,52
Raarmenian,54c
Racute,154
Rcaron,158
Rcedilla,156
Rcircle,24c7
Rcommaaccent,156
Rdblgrave,210
Rdotaccent,1e58
Rdotbelow,1e5a
Rdotbelowmacron,1e5c
Reharmenian,550
Rfraktur,211c
Rho,3a1
Ringsmall,f6fc
Rinvertedbreve,212
Rlinebelow,1e5e
Rmonospace,ff32
Rsmall,f772
Rsmallinverted,281
Rsmallinvertedsuperior,2b6
S,53
SF010000,250c
SF020000,2514
SF030000,2510
SF040000,2518
SF050000,253c
SF060000,252c
SF070000,2534
SF080000,251c
SF090000,2524
SF100000,2500
SF110000,2502
SF190000,2561
SF200000,2562
SF210000,2556
SF220000,2555
SF230000,2563
SF240000,2551
SF250000,2557
SF260000,255d
SF270000,255c
SF280000,255b
SF360000,255e
SF370000,255f
SF380000,255a
SF390000,2554
SF400000,2569
SF410000,2566
SF420000,2560
SF430000,2550
SF440000,256c
SF450000,2567
SF460000,2568
SF470000,2564
SF480000,2565
SF490000,2559
SF500000,2558
SF510000,2552
SF520000,2553
SF530000,256b
SF540000,256a
Sacute,15a
Sacutedotaccent,1e64
Sampigreek,3e0
Scaron,160
Scarondotaccent,1e66
Scaronsmall,f6fd
Scedilla,15e
Schwa,18f
Schwacyrillic,4d8
Schwadieresiscyrillic,4da
Scircle,24c8
Scircumflex,15c
Scommaaccent,218
Sdotaccent,1e60
Sdotbelow,1e62
Sdotbelowdotaccent,1e68
Seharmenian,54d
Sevenroman,2166
Shaarmenian,547
Shacyrillic,428
Shchacyrillic,429
Sheicoptic,3e2
Shhacyrillic,4ba
Shimacoptic,3ec
Sigma,3a3
Sixroman,2165
Smonospace,ff33
Softsigncyrillic,42c
Ssmall,f773
Stigmagreek,3da
T,54
Tau,3a4
Tbar,166
Tcaron,164
Tcedilla,162
Tcircle,24c9
Tcircumflexbelow,1e70
Tcommaaccent,162
Tdotaccent,1e6a
Tdotbelow,1e6c
Tecyrillic,422
Tedescendercyrillic,4ac
Tenroman,2169
Tetsecyrillic,4b4
Theta,398
Thook,1ac
Thorn,de
Thornsmall,f7fe
Threeroman,2162
Tildesmall,f6fe
Tiwnarmenian,54f
Tlinebelow,1e6e
Tmonospace,ff34
Toarmenian,539
Tonefive,1bc
Tonesix,184
Tonetwo,1a7
Tretroflexhook,1ae
Tsecyrillic,426
Tshecyrillic,40b
Tsmall,f774
Twelveroman,216b
Tworoman,2161
U,55
Uacute,da
Uacutesmall,f7fa
Ubreve,16c
Ucaron,1d3
Ucircle,24ca
Ucircumflex,db
Ucircumflexbelow,1e76
Ucircumflexsmall,f7fb
Ucyrillic,423
Udblacute,170
Udblgrave,214
Udieresis,dc
Udieresisacute,1d7
Udieresisbelow,1e72
Udieresiscaron,1d9
Udieresiscyrillic,4f0
Udieresisgrave,1db
Udieresismacron,1d5
Udieresissmall,f7fc
Udotbelow,1ee4
Ugrave,d9
Ugravesmall,f7f9
Uhookabove,1ee6
Uhorn,1af
Uhornacute,1ee8
Uhorndotbelow,1ef0
Uhorngrave,1eea
Uhornhookabove,1eec
Uhorntilde,1eee
Uhungarumlaut,170
Uhungarumlautcyrillic,4f2
Uinvertedbreve,216
Ukcyrillic,478
Umacron,16a
Umacroncyrillic,4ee
Umacrondieresis,1e7a
Umonospace,ff35
Uogonek,172
Upsilon,3a5
Upsilon1,3d2
Upsilonacutehooksymbolgreek,3d3
Upsilonafrican,1b1
Upsilondieresis,3ab
Upsilondieresishooksymbolgreek,3d4
Upsilonhooksymbol,3d2
Upsilontonos,38e
Uring,16e
Ushortcyrillic,40e
Usmall,f775
Ustraightcyrillic,4ae
Ustraightstrokecyrillic,4b0
Utilde,168
Utildeacute,1e78
Utildebelow,1e74
V,56
Vcircle,24cb
Vdotbelow,1e7e
Vecyrillic,412
Vewarmenian,54e
Vhook,1b2
Vmonospace,ff36
Voarmenian,548
Vsmall,f776
Vtilde,1e7c
W,57
Wacute,1e82
Wcircle,24cc
Wcircumflex,174
Wdieresis,1e84
Wdotaccent,1e86
Wdotbelow,1e88
Wgrave,1e80
Wmonospace,ff37
Wsmall,f777
X,58
Xcircle,24cd
Xdieresis,1e8c
Xdotaccent,1e8a
Xeharmenian,53d
Xi,39e
Xmonospace,ff38
Xsmall,f778
Y,59
Yacute,dd
Yacutesmall,f7fd
Yatcyrillic,462
Ycircle,24ce
Ycircumflex,176
Ydieresis,178
Ydieresissmall,f7ff
Ydotaccent,1e8e
Ydotbelow,1ef4
Yericyrillic,42b
Yerudieresiscyrillic,4f8
Ygrave,1ef2
Yhook,1b3
Yhookabove,1ef6
Yiarmenian,545
Yicyrillic,407
Yiwnarmenian,552
Ymonospace,ff39
Ysmall,f779
Ytilde,1ef8
Yusbigcyrillic,46a
Yusbigiotifiedcyrillic,46c
Yuslittlecyrillic,466
Yuslittleiotifiedcyrillic,468
Z,5a
Zaarmenian,536
Zacute,179
Zcaron,17d
Zcaronsmall,f6ff
Zcircle,24cf
Zcircumflex,1e90
Zdot,17b
Zdotaccent,17b
Zdotbelow,1e92
Zecyrillic,417
Zedescendercyrillic,498
Zedieresiscyrillic,4de
Zeta,396
Zhearmenian,53a
Zhebrevecyrillic,4c1
Zhecyrillic,416
Zhedescendercyrillic,496
Zhedieresiscyrillic,4dc
Zlinebelow,1e94
Zmonospace,ff3a
Zsmall,f77a
Zstroke,1b5
a,61
aabengali,986
aacute,e1
aadeva,906
aagujarati,a86
aagurmukhi,a06
aamatragurmukhi,a3e
aarusquare,3303
aavowelsignbengali,9be
aavowelsigndeva,93e
aavowelsigngujarati,abe
abbreviationmarkarmenian,55f
abbreviationsigndeva,970
abengali,985
abopomofo,311a
abreve,103
abreveacute,1eaf
abrevecyrillic,4d1
abrevedotbelow,1eb7
abrevegrave,1eb1
abrevehookabove,1eb3
abrevetilde,1eb5
acaron,1ce
acircle,24d0
acircumflex,e2
acircumflexacute,1ea5
acircumflexdotbelow,1ead
acircumflexgrave,1ea7
acircumflexhookabove,1ea9
acircumflextilde,1eab
acute,b4
acutebelowcmb,317
acutecmb,301
acutecomb,301
acutedeva,954
acutelowmod,2cf
acutetonecmb,341
acyrillic,430
adblgrave,201
addakgurmukhi,a71
adeva,905
adieresis,e4
adieresiscyrillic,4d3
adieresismacron,1df
adotbelow,1ea1
adotmacron,1e1
ae,e6
aeacute,1fd
aekorean,3150
aemacron,1e3
afii00208,2015
afii08941,20a4
afii10017,410
afii10018,411
afii10019,412
afii10020,413
afii10021,414
afii10022,415
afii10023,401
afii10024,416
afii10025,417
afii10026,418
afii10027,419
afii10028,41a
afii10029,41b
afii10030,41c
afii10031,41d
afii10032,41e
afii10033,41f
afii10034,420
afii10035,421
afii10036,422
afii10037,423
afii10038,424
afii10039,425
afii10040,426
afii10041,427
afii10042,428
afii10043,429
afii10044,42a
afii10045,42b
afii10046,42c
afii10047,42d
afii10048,42e
afii10049,42f
afii10050,490
afii10051,402
afii10052,403
afii10053,404
afii10054,405
afii10055,406
afii10056,407
afii10057,408
afii10058,409
afii10059,40a
afii10060,40b
afii10061,40c
afii10062,40e
afii10063,f6c4
afii10064,f6c5
afii10065,430
afii10066,431
afii10067,432
afii10068,433
afii10069,434
afii10070,435
afii10071,451
afii10072,436
afii10073,437
afii10074,438
afii10075,439
afii10076,43a
afii10077,43b
afii10078,43c
afii10079,43d
afii10080,43e
afii10081,43f
afii10082,440
afii10083,441
afii10084,442
afii10085,443
afii10086,444
afii10087,445
afii10088,446
afii10089,447
afii10090,448
afii10091,449
afii10092,44a
afii10093,44b
afii10094,44c
afii10095,44d
afii10096,44e
afii10097,44f
afii10098,491
afii10099,452
afii10100,453
afii10101,454
afii10102,455
afii10103,456
afii10104,457
afii10105,458
afii10106,459
afii10107,45a
afii10108,45b
afii10109,45c
afii10110,45e
afii10145,40f
afii10146,462
afii10147,472
afii10148,474
afii10192,f6c6
afii10193,45f
afii10194,463
afii10195,473
afii10196,475
afii10831,f6c7
afii10832,f6c8
afii10846,4d9
afii299,200e
afii300,200f
afii301,200d
afii57381,66a
afii57388,60c
afii57392,660
afii57393,661
afii57394,662
afii57395,663
afii57396,664
afii57397,665
afii57398,666
afii57399,667
afii57400,668
afii57401,669
afii57403,61b
afii57407,61f
afii57409,621
afii57410,622
afii57411,623
afii57412,624
afii57413,625
afii57414,626
afii57415,627
afii57416,628
afii57417,629
afii57418,62a
afii57419,62b
afii57420,62c
afii57421,62d
afii57422,62e
afii57423,62f
afii57424,630
afii57425,631
afii57426,632
afii57427,633
afii57428,634
afii57429,635
afii57430,636
afii57431,637
afii57432,638
afii57433,639
afii57434,63a
afii57440,640
afii57441,641
afii57442,642
afii57443,643
afii57444,644
afii57445,645
afii57446,646
afii57448,648
afii57449,649
afii57450,64a
afii57451,64b
afii57452,64c
afii57453,64d
afii57454,64e
afii57455,64f
afii57456,650
afii57457,651
afii57458,652
afii57470,647
afii57505,6a4
afii57506,67e
afii57507,686
afii57508,698
afii57509,6af
afii57511,679
afii57512,688
afii57513,691
afii57514,6ba
afii57519,6d2
afii57534,6d5
afii57636,20aa
afii57645,5be
afii57658,5c3
afii57664,5d0
afii57665,5d1
afii57666,5d2
afii57667,5d3
afii57668,5d4
afii57669,5d5
afii57670,5d6
afii57671,5d7
afii57672,5d8
afii57673,5d9
afii57674,5da
afii57675,5db
afii57676,5dc
afii57677,5dd
afii57678,5de
afii57679,5df
afii57680,5e0
afii57681,5e1
afii57682,5e2
afii57683,5e3
afii57684,5e4
afii57685,5e5
afii57686,5e6
afii57687,5e7
afii57688,5e8
afii57689,5e9
afii57690,5ea
afii57694,fb2a
afii57695,fb2b
afii57700,fb4b
afii57705,fb1f
afii57716,5f0
afii57717,5f1
afii57718,5f2
afii57723,fb35
afii57793,5b4
afii57794,5b5
afii57795,5b6
afii57796,5bb
afii57797,5b8
afii57798,5b7
afii57799,5b0
afii57800,5b2
afii57801,5b1
afii57802,5b3
afii57803,5c2
afii57804,5c1
afii57806,5b9
afii57807,5bc
afii57839,5bd
afii57841,5bf
afii57842,5c0
afii57929,2bc
afii61248,2105
afii61289,2113
afii61352,2116
afii61573,202c
afii61574,202d
afii61575,202e
afii61664,200c
afii63167,66d
afii64937,2bd
agrave,e0
agujarati,a85
agurmukhi,a05
ahiragana,3042
ahookabove,1ea3
aibengali,990
aibopomofo,311e
aideva,910
aiecyrillic,4d5
aigujarati,a90
aigurmukhi,a10
aimatragurmukhi,a48
ainarabic,639
ainfinalarabic,feca
aininitialarabic,fecb
ainmedialarabic,fecc
ainvertedbreve,203
aivowelsignbengali,9c8
aivowelsigndeva,948
aivowelsigngujarati,ac8
akatakana,30a2
akatakanahalfwidth,ff71
akorean,314f
alef,5d0
alefarabic,627
alefdageshhebrew,fb30
aleffinalarabic,fe8e
alefhamzaabovearabic,623
alefhamzaabovefinalarabic,fe84
alefhamzabelowarabic,625
alefhamzabelowfinalarabic,fe88
alefhebrew,5d0
aleflamedhebrew,fb4f
alefmaddaabovearabic,622
alefmaddaabovefinalarabic,fe82
alefmaksuraarabic,649
alefmaksurafinalarabic,fef0
alefmaksurainitialarabic,fef3
alefmaksuramedialarabic,fef4
alefpatahhebrew,fb2e
alefqamatshebrew,fb2f
aleph,2135
allequal,224c
alpha,3b1
alphatonos,3ac
amacron,101
amonospace,ff41
ampersand,26
ampersandmonospace,ff06
ampersandsmall,f726
amsquare,33c2
anbopomofo,3122
angbopomofo,3124
angkhankhuthai,e5a
angle,2220
anglebracketleft,3008
anglebracketleftvertical,fe3f
anglebracketright,3009
anglebracketrightvertical,fe40
angleleft,2329
angleright,232a
angstrom,212b
anoteleia,387
anudattadeva,952
anusvarabengali,982
anusvaradeva,902
anusvaragujarati,a82
aogonek,105
apaatosquare,3300
aparen,249c
apostrophearmenian,55a
apostrophemod,2bc
apple,f8ff
approaches,2250
approxequal,2248
approxequalorimage,2252
approximatelyequal,2245
araeaekorean,318e
araeakorean,318d
arc,2312
arighthalfring,1e9a
aring,e5
aringacute,1fb
aringbelow,1e01
arrowboth,2194
arrowdashdown,21e3
arrowdashleft,21e0
arrowdashright,21e2
arrowdashup,21e1
arrowdblboth,21d4
arrowdbldown,21d3
arrowdblleft,21d0
arrowdblright,21d2
arrowdblup,21d1
arrowdown,2193
arrowdownleft,2199
arrowdownright,2198
arrowdownwhite,21e9
arrowheaddownmod,2c5
arrowheadleftmod,2c2
arrowheadrightmod,2c3
arrowheadupmod,2c4
arrowhorizex,f8e7
arrowleft,2190
arrowleftdbl,21d0
arrowleftdblstroke,21cd
arrowleftoverright,21c6
arrowleftwhite,21e6
arrowright,2192
arrowrightdblstroke,21cf
arrowrightheavy,279e
arrowrightoverleft,21c4
arrowrightwhite,21e8
arrowtableft,21e4
arrowtabright,21e5
arrowup,2191
arrowupdn,2195
arrowupdnbse,21a8
arrowupdownbase,21a8
arrowupleft,2196
arrowupleftofdown,21c5
arrowupright,2197
arrowupwhite,21e7
arrowvertex,f8e6
asciicircum,5e
asciicircummonospace,ff3e
asciitilde,7e
asciitildemonospace,ff5e
ascript,251
ascriptturned,252
asmallhiragana,3041
asmallkatakana,30a1
asmallkatakanahalfwidth,ff67
asterisk,2a
asteriskaltonearabic,66d
asteriskarabic,66d
asteriskmath,2217
asteriskmonospace,ff0a
asterisksmall,fe61
asterism,2042
asuperior,f6e9
asymptoticallyequal,2243
at,40
atilde,e3
atmonospace,ff20
atsmall,fe6b
aturned,250
aubengali,994
aubopomofo,3120
audeva,914
augujarati,a94
augurmukhi,a14
aulengthmarkbengali,9d7
aumatragurmukhi,a4c
auvowelsignbengali,9cc
auvowelsigndeva,94c
auvowelsigngujarati,acc
avagrahadeva,93d
aybarmenian,561
ayin,5e2
ayinaltonehebrew,fb20
ayinhebrew,5e2
b,62
babengali,9ac
backslash,5c
backslashmonospace,ff3c
badeva,92c
bagujarati,aac
bagurmukhi,a2c
bahiragana,3070
bahtthai,e3f
bakatakana,30d0
bar,7c
barmonospace,ff5c
bbopomofo,3105
bcircle,24d1
bdotaccent,1e03
bdotbelow,1e05
beamedsixteenthnotes,266c
because,2235
becyrillic,431
beharabic,628
behfinalarabic,fe90
behinitialarabic,fe91
behiragana,3079
behmedialarabic,fe92
behmeeminitialarabic,fc9f
behmeemisolatedarabic,fc08
behnoonfinalarabic,fc6d
bekatakana,30d9
benarmenian,562
bet,5d1
beta,3b2
betasymbolgreek,3d0
betdagesh,fb31
betdageshhebrew,fb31
bethebrew,5d1
betrafehebrew,fb4c
bhabengali,9ad
bhadeva,92d
bhagujarati,aad
bhagurmukhi,a2d
bhook,253
bihiragana,3073
bikatakana,30d3
bilabialclick,298
bindigurmukhi,a02
birusquare,3331
blackcircle,25cf
blackdiamond,25c6
blackdownpointingtriangle,25bc
blackleftpointingpointer,25c4
blackleftpointingtriangle,25c0
blacklenticularbracketleft,3010
blacklenticularbracketleftvertical,fe3b
blacklenticularbracketright,3011
blacklenticularbracketrightvertical,fe3c
blacklowerlefttriangle,25e3
blacklowerrighttriangle,25e2
blackrectangle,25ac
blackrightpointingpointer,25ba
blackrightpointingtriangle,25b6
blacksmallsquare,25aa
blacksmilingface,263b
blacksquare,25a0
blackstar,2605
blackupperlefttriangle,25e4
blackupperrighttriangle,25e5
blackuppointingsmalltriangle,25b4
blackuppointingtriangle,25b2
blank,2423
blinebelow,1e07
block,2588
bmonospace,ff42
bobaimaithai,e1a
bohiragana,307c
bokatakana,30dc
bparen,249d
bqsquare,33c3
braceex,f8f4
braceleft,7b
braceleftbt,f8f3
braceleftmid,f8f2
braceleftmonospace,ff5b
braceleftsmall,fe5b
bracelefttp,f8f1
braceleftvertical,fe37
braceright,7d
bracerightbt,f8fe
bracerightmid,f8fd
bracerightmonospace,ff5d
bracerightsmall,fe5c
bracerighttp,f8fc
bracerightvertical,fe38
bracketleft,5b
bracketleftbt,f8f0
bracketleftex,f8ef
bracketleftmonospace,ff3b
bracketlefttp,f8ee
bracketright,5d
bracketrightbt,f8fb
bracketrightex,f8fa
bracketrightmonospace,ff3d
bracketrighttp,f8f9
breve,2d8
brevebelowcmb,32e
brevecmb,306
breveinvertedbelowcmb,32f
breveinvertedcmb,311
breveinverteddoublecmb,361
bridgebelowcmb,32a
bridgeinvertedbelowcmb,33a
brokenbar,a6
bstroke,180
bsuperior,f6ea
btopbar,183
buhiragana,3076
bukatakana,30d6
bullet,2022
bulletinverse,25d8
bulletoperator,2219
bullseye,25ce
c,63
caarmenian,56e
cabengali,99a
cacute,107
cadeva,91a
cagujarati,a9a
cagurmukhi,a1a
calsquare,3388
candrabindubengali,981
candrabinducmb,310
candrabindudeva,901
candrabindugujarati,a81
capslock,21ea
careof,2105
caron,2c7
caronbelowcmb,32c
caroncmb,30c
carriagereturn,21b5
cbopomofo,3118
ccaron,10d
ccedilla,e7
ccedillaacute,1e09
ccircle,24d2
ccircumflex,109
ccurl,255
cdot,10b
cdotaccent,10b
cdsquare,33c5
cedilla,b8
cedillacmb,327
cent,a2
centigrade,2103
centinferior,f6df
centmonospace,ffe0
centoldstyle,f7a2
centsuperior,f6e0
chaarmenian,579
chabengali,99b
chadeva,91b
chagujarati,a9b
chagurmukhi,a1b
chbopomofo,3114
cheabkhasiancyrillic,4bd
checkmark,2713
checyrillic,447
chedescenderabkhasiancyrillic,4bf
chedescendercyrillic,4b7
chedieresiscyrillic,4f5
cheharmenian,573
chekhakassiancyrillic,4cc
cheverticalstrokecyrillic,4b9
chi,3c7
chieuchacirclekorean,3277
chieuchaparenkorean,3217
chieuchcirclekorean,3269
chieuchkorean,314a
chieuchparenkorean,3209
chochangthai,e0a
chochanthai,e08
